pair_id,fieldsite,clean_response1,category1,response_site1,clean_response2,category2,response_site2,date,collect_time
0,castro_res,diverse,diverse,castro,bro,normative,marina,11/14/2025,15:20:51
1,castro_res,gay,gay,castro,straight,normative,marina,11/14/2025,15:24:01
2,castro_res,gay,gay,castro,white,normative,marina,11/14/2025,15:35:56
3,castro_res,unique,other,castro,expensive,gentrified,marina,11/14/2025,15:37:37
4,castro_res,colorful,diverse,castro,upscale,gentrified,marina,11/14/2025,16:05:23
5,castro_res,home,community,castro,young,young,marina,11/14/2025,16:06:02
6,castro_res,vibrant,fun,castro,boring,boring,marina,11/14/2025,16:06:11
7,castro_res,gay,gay,castro,preppy,gentrified,marina,11/14/2025,16:06:40
8,castro_res,fun,fun,castro,bad,bad,marina,11/14/2025,16:07:11
9,castro_res,unique,other,castro,stale,boring,marina,11/14/2025,16:07:48
10,castro_res,lively,fun,castro,antitask,antitask,marina,11/14/2025,16:08:30
11,castro_res,lacking,boring,castro,cold,boring,marina,11/14/2025,16:09:06
12,castro_res,diverse,diverse,castro,antitask,antitask,marina,11/14/2025,16:10:02
13,castro_res,vibrant,fun,castro,bougie,gentrified,marina,11/14/2025,16:10:39
14,castro_res,vibrant,fun,castro,white,normative,marina,11/14/2025,16:10:57
15,castro_res,fun,fun,castro,antitask,antitask,marina,11/14/2025,16:13:27
16,castro_res,open,open,castro,beautiful,nice,marina,11/14/2025,16:14:00
17,castro_res,fabulous,gay,castro,bro,normative,marina,11/14/2025,16:14:08
18,castro_res,fun,fun,castro,yuppie,other,marina,11/14/2025,16:15:55
19,castro_res,community,community,castro,antitask,antitask,marina,11/14/2025,16:16:19
20,castro_res,queer,gay,castro,young,young,marina,11/14/2025,16:16:25
21,castro_res,vibrant,fun,castro,tourists,other,marina,11/14/2025,16:17:32
22,castro_res,different,diverse,castro,antitask,antitask,marina,11/14/2025,16:20:15
23,castro_res,diverse,diverse,castro,sophisticated,gentrified,marina,11/14/2025,16:20:30
24,castro_res,nice,nice,castro,antitask,antitask,marina,11/14/2025,16:22:46
25,castro_res,gay,gay,castro,money,gentrified,marina,11/14/2025,16:23:56
26,castro_res,cool,nice,castro,expensive,gentrified,marina,11/14/2025,16:25:32
27,castro_res,vibrant,fun,castro,antitask,antitask,marina,11/14/2025,16:26:38
28,castro_res,gay,gay,castro,restaurants,other,marina,11/14/2025,16:26:39
29,castro_res,fun,fun,castro,rich,gentrified,marina,11/14/2025,16:28:04
30,castro_res,great,fun,castro,white,normative,marina,11/14/2025,16:28:12
31,castro_res,fantastic,fun,castro,antitask,antitask,marina,11/14/2025,16:28:45
32,castro_res,bizarre,special,castro,antitask,antitask,marina,11/14/2025,16:29:58
33,castro_res,community,community,castro,young,young,marina,11/14/2025,16:30:11
34,castro_res,home,community,castro,fishy,normative,marina,11/14/2025,16:30:52
35,castro_res,gay,gay,castro,snotty,gentrified,marina,11/14/2025,16:32:19
36,castro_res,vibrant,fun,castro,antitask,antitask,marina,11/14/2025,16:33:00
37,castro_res,happy,nice,castro,tragic,bad,marina,11/14/2025,16:33:26
38,castro_res,predictable,normative,castro,dull,boring,marina,11/14/2025,16:33:45
39,castro_res,community,community,castro,not_community,other,marina,11/14/2025,16:38:15
40,castro_res,gay,gay,castro,college,young,marina,11/14/2025,16:38:16
41,castro_res,fake,bad,castro,fake,bad,marina,11/14/2025,16:39:00
42,castro_res,home,community,castro,far,geography,marina,11/14/2025,16:39:13
43,castro_res,warm,nice,castro,cold,boring,marina,11/14/2025,16:39:37
44,castro_res,beautiful,nice,castro,beautiful,nice,marina,11/14/2025,16:41:08
45,castro_res,eclectic,special,castro,posh,gentrified,marina,11/14/2025,16:41:28
46,castro_res,home,community,castro,toxic,bad,marina,11/14/2025,16:44:22
47,castro_res,friendly,other,castro,conformist,normative,marina,11/14/2025,16:45:21
48,castro_res,vibrant,fun,castro,snotty,gentrified,marina,11/14/2025,16:45:23
49,castro_res,gay,gay,castro,boring,boring,marina,11/14/2025,16:46:04
50,castro_res,home,community,castro,sinking,geography,marina,11/14/2025,16:46:25
51,castro_res,community,community,castro,busy,chaotic,marina,11/14/2025,16:47:23
52,castro_res,old,other,castro,cold,boring,marina,11/14/2025,16:50:01
53,castro_res,fun,fun,castro,na,antitask,marina,11/14/2025,16:50:05
54,castro_res,lively,fun,castro,slutty,sexual,marina,11/14/2025,16:51:48
55,castro_res,colorful,diverse,castro,upscale,gentrified,marina,11/14/2025,16:52:23
56,castro_res,pleasant,nice,castro,scenic,other,marina,11/14/2025,16:52:28
57,castro_res,interesting,special,castro,posh,gentrified,marina,11/14/2025,16:54:20
58,castro_res,fun,fun,castro,bougie,gentrified,marina,11/14/2025,16:54:28
59,castro_res,vibrant,fun,castro,architecture,institutions,marina,11/14/2025,16:55:56
60,castro_res,different,diverse,castro,yuppie,other,marina,11/14/2025,16:57:09
61,castro_res,wonderful,fun,castro,posh,gentrified,marina,11/14/2025,16:58:26
62,castro_res,original,special,castro,beautiful,nice,marina,11/14/2025,16:58:31
63,castro_res,vibrant,fun,castro,preppies,gentrified,marina,11/14/2025,17:00:02
64,castro_res,vibrant,fun,castro,no!,antitask,marina,11/14/2025,17:00:10
65,castro_res,lively,fun,castro,antitask,antitask,marina,11/14/2025,17:00:52
66,castro_res,vibrant,fun,castro,interesting,special,marina,11/14/2025,17:00:55
67,castro_res,education,institutions,castro,antitask,antitask,marina,11/14/2025,17:01:58
68,castro_res,gay,gay,castro,raw,gritty,marina,11/14/2025,17:02:42
69,castro_res,fun,fun,castro,antitask,antitask,marina,11/14/2025,17:03:22
70,castro_res,cute,nice,castro,bro-y,normative,marina,11/14/2025,17:03:38
71,castro_res,gay,gay,castro,bougie,gentrified,marina,11/14/2025,17:04:56
72,castro_res,expressive,fun,castro,mellow,nice,marina,11/14/2025,17:05:35
73,castro_res,gay,gay,castro,straight,normative,marina,11/14/2025,17:06:53
74,castro_res,safe,nice,castro,fun,fun,marina,11/14/2025,17:08:50
75,castro_res,antitask,antitask,castro,boring,boring,marina,11/14/2025,17:10:48
76,castro_res,welcoming,community,castro,antitask,antitask,marina,11/14/2025,17:10:51
77,castro_res,clean,nice,castro,antitask,antitask,marina,11/14/2025,17:11:30
78,castro_res,changed,change,castro,monolithic,other,marina,11/14/2025,17:12:13
79,castro_res,variety,diverse,castro,blonde,normative,marina,11/14/2025,17:12:17
80,marina_res,neighborly,community,marina,antitask,antitask,castro,11/17/2025,16:41:13
81,marina_res,upscale,gentrified,marina,gay,gay,castro,11/17/2025,16:44:06
82,marina_res,fun,fun,marina,great,fun,castro,11/17/2025,16:46:08
83,marina_res,buttheads,bad,marina,gay,gay,castro,11/17/2025,16:49:35
84,marina_res,flat,geography,marina,hilly,geography,castro,11/17/2025,16:53:22
85,marina_res,marina,geography,marina,castro,geography,castro,11/17/2025,16:59:55
86,marina_res,upscale,gentrified,marina,wonderful,fun,castro,11/17/2025,17:04:07
87,marina_res,cold,boring,marina,fun,fun,castro,11/17/2025,17:19:20
88,marina_res,sea,geography,marina,valley,geography,castro,11/17/2025,17:20:41
89,marina_res,finance,gentrified,marina,gay,gay,castro,11/17/2025,17:27:26
90,marina_res,family,community,marina,antitask,antitask,castro,11/17/2025,17:29:00
91,marina_res,bougie,gentrified,marina,gay,gay,castro,11/17/2025,17:30:44
92,marina_res,young,young,marina,gay,gay,castro,11/17/2025,17:32:20
93,marina_res,homogenous,normative,marina,progressive,open,castro,11/17/2025,17:34:05
94,marina_res,cosy,nice,marina,antitask,antitask,castro,11/17/2025,17:38:07
95,marina_res,positive,nice,marina,lively,fun,castro,11/17/2025,17:39:16
96,marina_res,lively,fun,marina,antitask,antitask,castro,11/17/2025,17:40:51
97,marina_res,fun,fun,marina,fun,fun,castro,11/17/2025,17:42:33
98,marina_res,beautiful,nice,marina,vibrant,fun,castro,11/17/2025,17:43:47
99,marina_res,silly,other,marina,antitask,antitask,castro,11/17/2025,17:45:29
100,marina_res,fun,fun,marina,antitask,antitask,castro,11/17/2025,17:45:43
101,marina_res,fancy,gentrified,marina,antitask,antitask,castro,11/17/2025,17:47:14
102,marina_res,frat,other,marina,fun,fun,castro,11/17/2025,17:47:37
103,marina_res,harbor,geography,marina,neighborhood,community,castro,11/17/2025,17:50:22
104,marina_res,stereotypical,normative,marina,antitask,antitask,castro,11/17/2025,17:53:15
105,marina_res,eclectic,special,marina,old,other,castro,11/17/2025,17:54:17
106,marina_res,nice,nice,marina,unique,other,castro,11/17/2025,17:54:53
107,marina_res,expensive,gentrified,marina,vibrant,fun,castro,11/19/2025,14:47:15
108,marina_res,amazing,fun,marina,great,fun,castro,11/19/2025,14:49:30
109,marina_res,pretentious,gentrified,marina,gay,gay,castro,11/19/2025,14:50:12
110,marina_res,coziness,nice,marina,antitask,antitask,castro,11/19/2025,14:51:25
111,marina_res,chilly,weather,marina,antitask,antitask,castro,11/19/2025,14:53:39
112,marina_res,youthful,young,marina,changing,change,castro,11/19/2025,14:53:47
113,marina_res,young,young,marina,gay,gay,castro,11/19/2025,14:54:13
114,marina_res,energetic,fun,marina,colorful,diverse,castro,11/19/2025,14:55:46
115,marina_res,yuppie,other,marina,gay,gay,castro,11/19/2025,14:56:36
116,marina_res,bougie,gentrified,marina,gay,gay,castro,11/19/2025,14:57:16
117,marina_res,dog,institutions,marina,antitask,antitask,castro,11/19/2025,15:01:30
118,marina_res,varied,diverse,marina,beautiful,nice,castro,11/19/2025,15:03:26
119,marina_res,yuppie,other,marina,antitask,antitask,castro,11/19/2025,15:05:20
120,marina_res,basic,normative,marina,dance,fun,castro,11/19/2025,15:07:40
121,marina_res,gorgeous,nice,marina,busy,chaotic,castro,11/19/2025,15:08:03
122,marina_res,teaming,chaotic,marina,colorful,diverse,castro,11/19/2025,15:08:45
123,marina_res,upper_middle_class,gentrified,marina,gay,gay,castro,11/19/2025,15:08:49
124,marina_res,social,community,marina,antitask,antitask,castro,11/19/2025,15:10:17
125,marina_res,transplant,gentrified,marina,colorful,diverse,castro,11/19/2025,15:10:35
126,marina_res,ehhh,boring,marina,better,other,castro,11/19/2025,15:11:20
127,marina_res,energetic,fun,marina,vibrant,fun,castro,11/19/2025,15:11:55
128,marina_res,buzzy,fun,marina,spicy,diverse,castro,11/19/2025,15:14:31
129,marina_res,affluent,gentrified,marina,gay,gay,castro,11/19/2025,15:15:39
130,marina_res,eclectic,special,marina,fun,fun,castro,11/19/2025,15:15:41
131,marina_res,terrifying,bad,marina,sad,boring,castro,11/19/2025,15:17:15
132,marina_res,active,fun,marina,friendly,other,castro,11/19/2025,15:18:02
133,marina_res,walkable,actions,marina,antitask,antitask,castro,11/19/2025,15:18:57
134,marina_res,unhinged,chaotic,marina,fun,fun,castro,11/19/2025,15:20:09
135,marina_res,privileged,gentrified,marina,gay,gay,castro,11/19/2025,15:20:45
136,marina_res,flat,geography,marina,antitask,antitask,castro,11/19/2025,15:22:22
137,marina_res,cool,nice,marina,cool,nice,castro,11/19/2025,15:23:24
138,marina_res,lovely,nice,marina,antitask,antitask,castro,11/19/2025,15:24:23
139,marina_res,lively,fun,marina,antitask,antitask,castro,11/19/2025,15:25:22
140,marina_res,privileged,gentrified,marina,vibrant,fun,castro,11/19/2025,15:25:24
141,marina_res,restaurants,other,marina,antitask,antitask,castro,11/19/2025,15:27:05
142,marina_res,central,geography,marina,antitask,antitask,castro,11/19/2025,15:29:49
143,marina_res,vibrant,fun,marina,vibrant,fun,castro,11/19/2025,15:30:34
144,marina_res,pleasant,nice,marina,gay,gay,castro,11/19/2025,15:31:38
145,marina_res,attractive,nice,marina,gay,gay,castro,11/19/2025,15:33:04
146,marina_res,simple,normative,marina,not_exciting,boring,castro,11/19/2025,15:37:31
147,marina_res,safe,nice,marina,gay,gay,castro,11/19/2025,15:38:06
148,marina_res,hip,gentrified,marina,lively,fun,castro,11/19/2025,15:39:06
149,marina_res,vibey,nice,marina,antitask,antitask,castro,11/19/2025,15:40:33
150,marina_res,families,community,marina,antitask,antitask,castro,11/19/2025,15:40:51
151,marina_res,bubble,normative,marina,fun,fun,castro,11/19/2025,15:41:32
152,marina_res,frat,other,marina,fruity,gay,castro,11/19/2025,15:41:52
153,marina_res,nannies,gentrified,marina,antitask,antitask,castro,11/19/2025,15:45:14
154,marina_res,homogenous,normative,marina,alive,nice,castro,11/19/2025,15:45:29
155,marina_res,awesome,fun,marina,great,fun,castro,11/19/2025,15:46:37
156,marina_res,flat,geography,marina,gay,gay,castro,11/19/2025,15:47:24
157,marina_res,pleasant,nice,marina,antitask,antitask,castro,11/19/2025,15:47:51
158,marina_res,beautiful,nice,marina,lively,fun,castro,11/19/2025,15:49:19
159,mission_res,extravagant,gentrified,mission,gay,gay,castro,11/11/2025,14:41:44
160,mission_res,fake,bad,mission,gay,gay,castro,11/11/2025,14:43:42
161,mission_res,chaotic,chaotic,mission,fun,fun,castro,11/11/2025,14:44:20
162,mission_res,enjoyable,nice,mission,farther,geography,castro,11/11/2025,14:45:22
163,mission_res,bonito,nice,mission,bonito,nice,castro,11/11/2025,14:46:57
164,mission_res,character,special,mission,gay,gay,castro,11/11/2025,14:47:08
165,mission_res,diverse,diverse,mission,gay,gay,castro,11/11/2025,14:48:37
166,mission_res,robust,nice,mission,gay,gay,castro,11/11/2025,14:49:52
167,mission_res,peligroso,gritty,mission,bonito,nice,castro,11/11/2025,14:50:39
168,mission_res,tight,other,mission,colorful,diverse,castro,11/11/2025,14:51:19
169,mission_res,bonito,nice,mission,bonito,nice,castro,11/11/2025,14:51:50
170,mission_res,colorful,diverse,mission,spanky,fun,castro,11/11/2025,14:52:40
171,mission_res,amazing,fun,mission,fun,fun,castro,11/11/2025,14:55:43
172,mission_res,colorful,diverse,mission,rainbow,gay,castro,11/11/2025,14:55:50
173,mission_res,vibrant,fun,mission,exciting,fun,castro,11/11/2025,14:56:01
174,mission_res,lively,fun,mission,colorful,diverse,castro,11/11/2025,14:58:28
175,mission_res,vibrant,fun,mission,poppin,fun,castro,11/11/2025,14:59:11
176,mission_res,dichotomy,diverse,mission,fun,fun,castro,11/11/2025,15:00:49
177,mission_res,flags,other,mission,queer,gay,castro,11/11/2025,15:01:28
178,mission_res,creative,special,mission,antitask,antitask,castro,11/11/2025,15:03:34
179,mission_res,interesting,special,mission,different,diverse,castro,11/11/2025,15:04:02
180,mission_res,authentic,special,mission,liberating,open,castro,11/11/2025,15:04:53
181,mission_res,beautiful,nice,mission,gorgeous,nice,castro,11/11/2025,15:05:25
182,mission_res,edge,gritty,mission,love,gay,castro,11/11/2025,15:06:18
183,mission_res,home,community,mission,lively,fun,castro,11/11/2025,15:06:23
184,mission_res,eclectic,special,mission,shiny,other,castro,11/11/2025,15:08:17
185,mission_res,sunny,weather,mission,colorful,diverse,castro,11/11/2025,15:08:54
186,mission_res,hispanic,latino,mission,gay,gay,castro,11/11/2025,15:09:33
187,mission_res,cosmopolitan,gentrified,mission,gay,gay,castro,11/11/2025,15:09:56
188,mission_res,eclectic,special,mission,antitask,antitask,castro,11/11/2025,15:11:00
189,mission_res,beautiful,nice,mission,beautiful,nice,castro,11/11/2025,15:12:34
190,mission_res,amazing,fun,mission,cool,nice,castro,11/11/2025,15:13:41
191,mission_res,diverse,diverse,mission,gay,gay,castro,11/11/2025,15:14:45
192,mission_res,eclectic,special,mission,open,open,castro,11/11/2025,15:15:09
193,mission_res,flavorful,diverse,mission,party,fun,castro,11/11/2025,15:16:25
194,mission_res,amazing,fun,mission,amazing,fun,castro,11/11/2025,15:17:18
195,mission_res,heritage,special,mission,legacy,special,castro,11/11/2025,15:19:51
196,mission_res,gentrified,gentrified,mission,transplants,gentrified,castro,11/11/2025,15:21:14
197,mission_res,hispanic,latino,mission,drugs,other,castro,11/11/2025,15:22:20
198,mission_res,beautiful,nice,mission,gay,gay,castro,11/11/2025,15:25:04
199,mission_res,beautiful,nice,mission,beautiful,nice,castro,11/11/2025,15:26:01
200,mission_res,chill,nice,mission,hectic,chaotic,castro,11/11/2025,15:28:46
201,mission_res,vibrant,fun,mission,exuberant,fun,castro,11/11/2025,15:30:57
202,mission_res,bonito,nice,mission,bonito,nice,castro,11/11/2025,15:36:33
203,mission_res,wonderful,fun,mission,different,diverse,castro,11/11/2025,15:37:13
204,mission_res,fun,fun,mission,clean,nice,castro,11/11/2025,15:37:23
205,mission_res,community,community,mission,historic,special,castro,11/11/2025,15:38:12
206,mission_res,unique,other,mission,diverse,diverse,castro,11/11/2025,15:39:16
207,mission_res,gritty,gritty,mission,rainbow,gay,castro,11/11/2025,15:40:07
208,mission_res,latino,latino,mission,gender,other,castro,11/11/2025,15:42:45
209,mission_res,fun,fun,mission,fun,fun,castro,11/11/2025,15:44:14
210,mission_res,colorful,diverse,mission,trendier,gentrified,castro,11/11/2025,15:45:44
211,mission_res,diverse,diverse,mission,exciting,fun,castro,11/11/2025,15:46:07
212,mission_res,latino,latino,mission,especial,other,castro,11/11/2025,15:48:21
213,mission_res,home,community,mission,close,geography,castro,11/11/2025,15:48:50
214,mission_res,eclectic,special,mission,gay,gay,castro,11/11/2025,15:49:48
215,mission_res,eclectic,special,mission,vibrant,fun,castro,11/11/2025,15:50:22
216,mission_res,latino,latino,mission,community,community,castro,11/11/2025,15:51:30
217,mission_res,complicated,other,mission,vibrant,fun,castro,11/11/2025,15:52:25
218,mission_res,familiar,community,mission,familiar,community,castro,11/11/2025,15:53:26
219,mission_res,colorful,diverse,mission,festive,fun,castro,11/11/2025,15:55:06
220,mission_res,latino,latino,mission,gay,gay,castro,11/11/2025,15:55:14
221,mission_res,culture,diverse,mission,colorful,diverse,castro,11/11/2025,15:56:02
222,mission_res,pretty,nice,mission,nice,nice,castro,11/11/2025,15:56:47
223,mission_res,awesome,fun,mission,fun,fun,castro,11/11/2025,15:57:49
224,mission_res,vibrant,fun,mission,eclectic,special,castro,11/11/2025,15:58:08
225,mission_res,fun,fun,mission,funner,fun,castro,11/11/2025,15:58:51
226,mission_res,sucio,gritty,mission,tranquilo,nice,castro,11/11/2025,15:59:00
227,mission_res,expansive,geography,mission,gay,gay,castro,11/11/2025,15:59:47
228,mission_res,eclectic,special,mission,colorful,diverse,castro,11/11/2025,16:01:27
229,mission_res,spicy,diverse,mission,spicy,diverse,castro,11/11/2025,16:02:05
230,mission_res,diverse,diverse,mission,fun,fun,castro,11/11/2025,16:03:12
231,mission_res,latino,latino,mission,comunidad,community,castro,11/11/2025,16:04:16
232,mission_res,beautiful,nice,mission,stunning,fun,castro,11/11/2025,16:05:02
233,mission_res,vibrant,fun,mission,dying,boring,castro,11/11/2025,16:05:42
234,mission_res,eclectic,special,mission,friendly,other,castro,11/11/2025,16:06:20
235,mission_res,vibrant,fun,mission,gay,gay,castro,11/11/2025,16:06:40
236,mission_res,comunidad,community,mission,comunidad,community,castro,11/11/2025,16:08:51
237,mission_res,mexican,latino,mission,naked,sexual,castro,11/11/2025,16:09:33
238,mission_res,home,community,mission,alive,nice,castro,11/11/2025,16:10:15
239,mission_res,vibrant,fun,mission,community,community,castro,11/11/2025,16:10:45
240,mission_res,artistic,special,mission,quiet,nice,castro,11/11/2025,16:12:57
241,mission_res,vibrant,fun,mission,dynamic,fun,castro,11/11/2025,16:14:43
242,mission_res,dynamic,fun,mission,gay,gay,castro,11/11/2025,16:14:53
243,marina_res,gay,gay,castro,preppy,gentrified,marina,11/17/2025,16:41:36
244,marina_res,lively,fun,castro,yuppie,other,marina,11/17/2025,16:42:35
245,marina_res,pride,gay,castro,water,geography,marina,11/17/2025,16:43:02
246,marina_res,pride,gay,castro,meh,boring,marina,11/17/2025,16:45:53
247,marina_res,lively,fun,castro,approachable,nice,marina,11/17/2025,16:47:10
248,marina_res,sf,geography,castro,sf,geography,marina,11/17/2025,16:47:36
249,marina_res,fun,fun,castro,work,actions,marina,11/17/2025,16:48:08
250,marina_res,gay,gay,castro,white,normative,marina,11/17/2025,16:48:31
251,marina_res,lit,fun,castro,fun,fun,marina,11/17/2025,16:48:58
252,marina_res,gay,gay,castro,white,normative,marina,11/17/2025,16:50:22
253,marina_res,nada,antitask,castro,dinero,gentrified,marina,11/17/2025,16:51:17
254,marina_res,soulcycle,institutions,castro,marina_meats,institutions,marina,11/17/2025,16:52:17
255,marina_res,beautiful,nice,castro,change,change,marina,11/17/2025,16:53:27
256,marina_res,rainbow,gay,castro,frat,other,marina,11/17/2025,16:55:47
257,marina_res,hippies,other,castro,young,young,marina,11/17/2025,16:56:45
258,marina_res,fun,fun,castro,bustling,chaotic,marina,11/17/2025,17:00:09
259,marina_res,homosexuales,gay,castro,tourists,other,marina,11/17/2025,17:01:40
260,marina_res,gay,gay,castro,frat,other,marina,11/17/2025,17:02:08
261,marina_res,colors,diverse,castro,young,young,marina,11/17/2025,17:03:00
262,marina_res,theater,institutions,castro,yuppie,other,marina,11/17/2025,17:04:34
263,marina_res,gay,gay,castro,boujee,gentrified,marina,11/17/2025,17:05:27
264,marina_res,antitask,antitask,castro,best,fun,marina,11/17/2025,17:07:37
265,marina_res,restaurants,other,castro,restaurants,other,marina,11/17/2025,17:09:16
266,marina_res,vibrant,fun,castro,water,geography,marina,11/17/2025,17:09:55
267,marina_res,gay,gay,castro,college,young,marina,11/17/2025,17:10:52
268,marina_res,gay,gay,castro,rich,gentrified,marina,11/17/2025,17:12:52
269,marina_res,mission,geography,castro,gentrified,gentrified,marina,11/17/2025,17:15:08
270,marina_res,pride,gay,castro,peace,nice,marina,11/17/2025,17:17:53
271,marina_res,fun,fun,castro,less_fun,boring,marina,11/17/2025,17:18:43
272,marina_res,party,fun,castro,white,normative,marina,11/17/2025,17:20:07
273,marina_res,theater,institutions,castro,restaurants,other,marina,11/17/2025,17:21:13
274,marina_res,theater,institutions,castro,chestnut,geography,marina,11/17/2025,17:22:02
275,marina_res,party,fun,castro,bars,institutions,marina,11/17/2025,17:27:17
276,marina_res,gay,gay,castro,privileged,gentrified,marina,11/17/2025,17:28:32
277,marina_res,gay,gay,castro,hot_girls,normative,marina,11/17/2025,17:33:27
278,marina_res,dead,boring,castro,great,fun,marina,11/17/2025,17:39:06
279,marina_res,gay,gay,castro,bro,normative,marina,11/17/2025,17:40:22
280,marina_res,brother,other,castro,live,actions,marina,11/17/2025,17:45:20
281,marina_res,gay,gay,castro,white,normative,marina,11/17/2025,17:46:05
282,marina_res,gay,gay,castro,antitask,antitask,marina,11/17/2025,17:48:01
283,marina_res,gay,gay,castro,douchey,normative,marina,11/17/2025,17:58:41
284,marina_res,architecture,institutions,castro,active,fun,marina,11/19/2025,15:51:47
285,marina_res,unknown,antitask,castro,visited,actions,marina,11/19/2025,15:55:19
286,marina_res,gay,gay,castro,frat,other,marina,11/19/2025,16:00:00
287,marina_res,gay,gay,castro,la,normative,marina,11/19/2025,16:01:50
288,marina_res,personality,special,castro,cozy,nice,marina,11/19/2025,16:02:46
289,marina_res,fun,fun,castro,young,young,marina,11/19/2025,16:05:46
290,marina_res,gay,gay,castro,white,normative,marina,11/19/2025,16:10:17
291,marina_res,fun,fun,castro,safe,nice,marina,11/19/2025,16:13:24
292,marina_res,antitask,antitask,castro,bougie,gentrified,marina,11/19/2025,16:18:19
293,marina_res,gay,gay,castro,affluent,gentrified,marina,11/19/2025,16:20:44
294,marina_res,gay,gay,castro,preppy,gentrified,marina,11/19/2025,16:22:13
295,marina_res,gay,gay,castro,wealthy,gentrified,marina,11/19/2025,16:23:17
296,marina_res,flamboyant,gay,castro,preppy,gentrified,marina,11/19/2025,16:24:01
297,marina_res,fun,fun,castro,different,diverse,marina,11/19/2025,16:24:38
298,marina_res,vibrant,fun,castro,young,young,marina,11/19/2025,16:25:16
299,marina_res,diverse,diverse,castro,safe,nice,marina,11/19/2025,16:27:57
300,marina_res,fun,fun,castro,basic,normative,marina,11/19/2025,16:29:44
301,marina_res,gay,gay,castro,preppy,gentrified,marina,11/19/2025,16:30:04
302,marina_res,vibrant,fun,castro,straight,normative,marina,11/19/2025,16:31:05
303,marina_res,vibrant,fun,castro,comfortable,nice,marina,11/19/2025,16:31:18
304,marina_res,nice,nice,castro,nice,nice,marina,11/19/2025,16:35:19
305,marina_res,antitask,antitask,castro,ocean,geography,marina,11/19/2025,16:36:18
306,marina_res,fun,fun,castro,trendy,gentrified,marina,11/19/2025,16:38:20
307,marina_res,antitask,antitask,castro,nice,nice,marina,11/19/2025,16:39:08
308,marina_res,fun,fun,castro,fun,fun,marina,11/19/2025,16:41:52
309,marina_res,fun,fun,castro,bustling,chaotic,marina,11/19/2025,16:42:31
310,marina_res,antitask,antitask,castro,friendly,other,marina,11/19/2025,16:43:44
311,marina_res,fun,fun,castro,young,young,marina,11/19/2025,16:45:00
312,marina_res,fun,fun,castro,water,geography,marina,11/19/2025,16:48:33
313,marina_res,gay,gay,castro,tech,gentrified,marina,11/19/2025,16:51:02
314,marina_res,antitask,antitask,castro,bubbly,nice,marina,11/19/2025,16:54:58
