response,clean_response,fieldsite,response_site,participants,date,collect_time,slow,order,pair_id
diverse,diverse,castro_res,castro,res,11/14/2025,15:20:51,0,1,0
bro,bro,castro_res,marina,res,11/14/2025,15:20:51,0,2,0
gay,gay,castro_res,castro,res,11/14/2025,15:24:01,1,1,1
straight,straight,castro_res,marina,res,11/14/2025,15:24:01,0,2,1
gay,gay,castro_res,castro,res,11/14/2025,15:35:56,0,1,2
white,white,castro_res,marina,res,11/14/2025,15:35:56,1,2,2
unique,unique,castro_res,castro,res,11/14/2025,15:37:37,1,1,3
expensive,expensive,castro_res,marina,res,11/14/2025,15:37:37,0,2,3
colourful,colorful,castro_res,castro,res,11/14/2025,16:05:23,0,1,4
upscale,upscale,castro_res,marina,res,11/14/2025,16:05:23,1,2,4
young_people,young,castro_res,marina,res,11/14/2025,16:06:02,1,2,5
home,home,castro_res,castro,res,11/14/2025,16:06:02,1,1,5
vibrant,vibrant,castro_res,castro,res,11/14/2025,16:06:11,0,1,6
boring,boring,castro_res,marina,res,11/14/2025,16:06:11,1,2,6
gay,gay,castro_res,castro,res,11/14/2025,16:06:40,0,1,7
preppy,preppy,castro_res,marina,res,11/14/2025,16:06:40,0,2,7
fun,fun,castro_res,castro,res,11/14/2025,16:07:11,0,1,8
bad,bad,castro_res,marina,res,11/14/2025,16:07:11,0,2,8
unique,unique,castro_res,castro,res,11/14/2025,16:07:48,0,1,9
stale,stale,castro_res,marina,res,11/14/2025,16:07:48,0,2,9
i_don't_go_there_a_lot_north_point_great_views_golden_gate_bridge_dating_scene_millennial,antitask,castro_res,marina,res,11/14/2025,16:08:30,1,2,10
lively,lively,castro_res,castro,res,11/14/2025,16:08:30,0,1,10
lacking,lacking,castro_res,castro,res,11/14/2025,16:09:06,0,1,11
cold,cold,castro_res,marina,res,11/14/2025,16:09:06,1,2,11
i_can't_give_you_an_answer,antitask,castro_res,marina,res,11/14/2025,16:10:02,0,2,12
diverse,diverse,castro_res,castro,res,11/14/2025,16:10:02,0,1,12
vibrant,vibrant,castro_res,castro,res,11/14/2025,16:10:39,0,1,13
bougie,bougie,castro_res,marina,res,11/14/2025,16:10:39,1,2,13
white_(can_i_say_that?),white,castro_res,marina,res,11/14/2025,16:10:57,1,2,14
vibrant,vibrant,castro_res,castro,res,11/14/2025,16:10:57,0,1,14
i_don’t_know_i_have_not_been_there_for_a_long_time,antitask,castro_res,marina,res,11/14/2025,16:13:27,1,2,15
fun,fun,castro_res,castro,res,11/14/2025,16:13:27,0,1,15
open,open,castro_res,castro,res,11/14/2025,16:14:00,1,1,16
beautiful,beautiful,castro_res,marina,res,11/14/2025,16:14:00,0,2,16
fabulous,fabulous,castro_res,castro,res,11/14/2025,16:14:08,0,1,17
bro,bro,castro_res,marina,res,11/14/2025,16:14:08,0,2,17
fun,fun,castro_res,castro,res,11/14/2025,16:15:55,0,1,18
yuppies,yuppie,castro_res,marina,res,11/14/2025,16:15:55,1,2,18
i_don’t_really_have_any_word_for_it,antitask,castro_res,marina,res,11/14/2025,16:16:19,1,2,19
community,community,castro_res,castro,res,11/14/2025,16:16:19,0,1,19
queer,queer,castro_res,castro,res,11/14/2025,16:16:25,0,1,20
young,young,castro_res,marina,res,11/14/2025,16:16:25,1,2,20
vibrant,vibrant,castro_res,castro,res,11/14/2025,16:17:32,0,1,21
tourist,tourists,castro_res,marina,res,11/14/2025,16:17:32,1,2,21
i_haven’t_been_there_for_so_long.,antitask,castro_res,marina,res,11/14/2025,16:20:15,0,2,22
different,different,castro_res,castro,res,11/14/2025,16:20:15,0,1,22
diverse,diverse,castro_res,castro,res,11/14/2025,16:20:30,1,1,23
sophisticated,sophisticated,castro_res,marina,res,11/14/2025,16:20:30,1,2,23
i_don’t_know,antitask,castro_res,marina,res,11/14/2025,16:22:46,0,2,24
nice,nice,castro_res,castro,res,11/14/2025,16:22:46,0,1,24
gay,gay,castro_res,castro,res,11/14/2025,16:23:56,1,1,25
money,money,castro_res,marina,res,11/14/2025,16:23:56,0,2,25
cool,cool,castro_res,castro,res,11/14/2025,16:25:32,0,1,26
expensive,expensive,castro_res,marina,res,11/14/2025,16:25:32,0,2,26
i_don’t_know,antitask,castro_res,marina,res,11/14/2025,16:26:38,0,2,27
vibrant,vibrant,castro_res,castro,res,11/14/2025,16:26:38,0,1,27
idk_there's_a_lot_of_cool_restaurants_there_id_say_hip,restaurants,castro_res,marina,res,11/14/2025,16:26:39,1,2,28
gay,gay,castro_res,castro,res,11/14/2025,16:26:39,0,1,28
fun,fun,castro_res,castro,res,11/14/2025,16:28:04,0,1,29
rich,rich,castro_res,marina,res,11/14/2025,16:28:04,0,2,29
great,great,castro_res,castro,res,11/14/2025,16:28:12,0,1,30
white,white,castro_res,marina,res,11/14/2025,16:28:12,0,2,30
not_pretty_sure,antitask,castro_res,marina,res,11/14/2025,16:28:45,0,2,31
fantastic,fantastic,castro_res,castro,res,11/14/2025,16:28:45,0,1,31
“no_word”,antitask,castro_res,marina,res,11/14/2025,16:29:58,0,2,32
bizarre,bizarre,castro_res,castro,res,11/14/2025,16:29:58,0,1,32
young_people?,young,castro_res,marina,res,11/14/2025,16:30:11,1,2,33
community,community,castro_res,castro,res,11/14/2025,16:30:11,0,1,33
home,home,castro_res,castro,res,11/14/2025,16:30:52,0,1,34
fishy,fishy,castro_res,marina,res,11/14/2025,16:30:52,1,2,34
gay,gay,castro_res,castro,res,11/14/2025,16:32:19,0,1,35
snotty,snotty,castro_res,marina,res,11/14/2025,16:32:19,1,2,35
i_never_go_there,antitask,castro_res,marina,res,11/14/2025,16:33:00,0,2,36
vibrant,vibrant,castro_res,castro,res,11/14/2025,16:33:00,0,1,36
happy,happy,castro_res,castro,res,11/14/2025,16:33:26,0,1,37
tragic,tragic,castro_res,marina,res,11/14/2025,16:33:26,0,2,37
(just_one?)_predictable,predictable,castro_res,castro,res,11/14/2025,16:33:45,0,1,38
dull,dull,castro_res,marina,res,11/14/2025,16:33:45,0,2,38
not_community,not_community,castro_res,marina,res,11/14/2025,16:38:15,0,2,39
community,community,castro_res,castro,res,11/14/2025,16:38:15,0,1,39
college_kids,college,castro_res,marina,res,11/14/2025,16:38:16,1,2,40
gay,gay,castro_res,castro,res,11/14/2025,16:38:16,0,1,40
more_fake,fake,castro_res,marina,res,11/14/2025,16:39:00,0,2,41
fake,fake,castro_res,castro,res,11/14/2025,16:39:00,0,1,41
far_away,far,castro_res,marina,res,11/14/2025,16:39:13,1,2,42
home,home,castro_res,castro,res,11/14/2025,16:39:13,0,1,42
warm,warm,castro_res,castro,res,11/14/2025,16:39:37,0,1,43
cold,cold,castro_res,marina,res,11/14/2025,16:39:37,0,2,43
beautiful,beautiful,castro_res,castro,res,11/14/2025,16:41:08,0,1,44
beautiful,beautiful,castro_res,marina,res,11/14/2025,16:41:08,0,2,44
mixed_bag,eclectic,castro_res,castro,res,11/14/2025,16:41:28,0,1,45
posh,posh,castro_res,marina,res,11/14/2025,16:41:28,1,2,45
home,home,castro_res,castro,res,11/14/2025,16:44:22,1,1,46
toxic,toxic,castro_res,marina,res,11/14/2025,16:44:22,1,2,46
a_bunch_of_conformists,conformist,castro_res,marina,res,11/14/2025,16:45:21,1,2,47
friendly,friendly,castro_res,castro,res,11/14/2025,16:45:21,0,1,47
vibrant,vibrant,castro_res,castro,res,11/14/2025,16:45:23,1,1,48
snotty,snotty,castro_res,marina,res,11/14/2025,16:45:23,0,2,48
gay,gay,castro_res,castro,res,11/14/2025,16:46:04,0,1,49
boring,boring,castro_res,marina,res,11/14/2025,16:46:04,0,2,49
sinking_in_the_water,sinking,castro_res,marina,res,11/14/2025,16:46:25,0,2,50
home,home,castro_res,castro,res,11/14/2025,16:46:25,0,1,50
community,community,castro_res,castro,res,11/14/2025,16:47:23,0,1,51
busy,busy,castro_res,marina,res,11/14/2025,16:47:23,1,2,51
old,old,castro_res,castro,res,11/14/2025,16:50:01,0,1,52
cold,cold,castro_res,marina,res,11/14/2025,16:50:01,0,2,52
fun,fun,castro_res,castro,res,11/14/2025,16:50:05,0,1,53
na,na,castro_res,marina,res,11/14/2025,16:50:05,0,2,53
lively,lively,castro_res,castro,res,11/14/2025,16:51:48,0,1,54
slutty,slutty,castro_res,marina,res,11/14/2025,16:51:48,1,2,54
colorful,colorful,castro_res,castro,res,11/14/2025,16:52:23,0,1,55
upscale,upscale,castro_res,marina,res,11/14/2025,16:52:23,0,2,55
pleasant,pleasant,castro_res,castro,res,11/14/2025,16:52:28,0,1,56
scenic,scenic,castro_res,marina,res,11/14/2025,16:52:28,1,2,56
interesting,interesting,castro_res,castro,res,11/14/2025,16:54:20,0,1,57
posh,posh,castro_res,marina,res,11/14/2025,16:54:20,1,2,57
fun,fun,castro_res,castro,res,11/14/2025,16:54:28,0,1,58
bougie,bougie,castro_res,marina,res,11/14/2025,16:54:28,0,2,58
spanish_revival,architecture,castro_res,marina,res,11/14/2025,16:55:56,1,2,59
vibrant,vibrant,castro_res,castro,res,11/14/2025,16:55:56,0,1,59
different,different,castro_res,castro,res,11/14/2025,16:57:09,0,1,60
yuppies,yuppie,castro_res,marina,res,11/14/2025,16:57:09,1,2,60
wonderful,wonderful,castro_res,castro,res,11/14/2025,16:58:26,0,1,61
posh,posh,castro_res,marina,res,11/14/2025,16:58:26,0,2,61
original,original,castro_res,castro,res,11/14/2025,16:58:31,0,1,62
beautiful,beautiful,castro_res,marina,res,11/14/2025,16:58:31,1,2,62
vibrant,vibrant,castro_res,castro,res,11/14/2025,17:00:02,0,1,63
preppies,preppies,castro_res,marina,res,11/14/2025,17:00:02,1,2,63
vibrant,vibrant,castro_res,castro,res,11/14/2025,17:00:10,0,1,64
no!,no!,castro_res,marina,res,11/14/2025,17:00:10,0,2,64
our_marina_is_better,antitask,castro_res,marina,res,11/14/2025,17:00:52,0,2,65
lively,lively,castro_res,castro,res,11/14/2025,17:00:52,0,1,65
vibrant,vibrant,castro_res,castro,res,11/14/2025,17:00:55,0,1,66
interesting,interesting,castro_res,marina,res,11/14/2025,17:00:55,1,2,66
i_have_no_idea,antitask,castro_res,marina,res,11/14/2025,17:01:58,1,2,67
education,education,castro_res,castro,res,11/14/2025,17:01:58,0,1,67
gay,gay,castro_res,castro,res,11/14/2025,17:02:42,0,1,68
raw,raw,castro_res,marina,res,11/14/2025,17:02:42,0,2,68
i_don’t_know,antitask,castro_res,marina,res,11/14/2025,17:03:22,0,2,69
fun,fun,castro_res,castro,res,11/14/2025,17:03:22,0,1,69
cute,cute,castro_res,castro,res,11/14/2025,17:03:38,0,1,70
bro-y,bro-y,castro_res,marina,res,11/14/2025,17:03:38,1,2,70
(hahahahhaha)_gay,gay,castro_res,castro,res,11/14/2025,17:04:56,0,1,71
bougie,bougie,castro_res,marina,res,11/14/2025,17:04:56,1,2,71
expressive,expressive,castro_res,castro,res,11/14/2025,17:05:35,1,1,72
mellow,mellow,castro_res,marina,res,11/14/2025,17:05:35,0,2,72
too_straight,straight,castro_res,marina,res,11/14/2025,17:06:53,0,2,73
gay,gay,castro_res,castro,res,11/14/2025,17:06:53,0,1,73
safe,safe,castro_res,castro,res,11/14/2025,17:08:50,0,1,74
fun?,fun,castro_res,marina,res,11/14/2025,17:08:50,1,2,74
i_cannot_find_a_word,antitask,castro_res,castro,res,11/14/2025,17:10:48,0,1,75
i_find_it_a_little_boring,boring,castro_res,marina,res,11/14/2025,17:10:48,1,2,75
i_don't_really_know_the_marina_very_well,antitask,castro_res,marina,res,11/14/2025,17:10:51,0,2,76
welcoming,welcoming,castro_res,castro,res,11/14/2025,17:10:51,0,1,76
(hahaha)_i_don’t_know,antitask,castro_res,marina,res,11/14/2025,17:11:30,0,2,77
clean,clean,castro_res,castro,res,11/14/2025,17:11:30,0,1,77
very_monolithic_over_time,monolithic,castro_res,marina,res,11/14/2025,17:12:13,1,2,78
changed,changed,castro_res,castro,res,11/14/2025,17:12:13,0,1,78
variety,variety,castro_res,castro,res,11/14/2025,17:12:17,0,1,79
blonde,blonde,castro_res,marina,res,11/14/2025,17:12:17,1,2,79
good_neighbor,neighborly,marina_res,marina,res,11/17/2025,16:41:13,1,1,80
i_don't_hang_out_there,antitask,marina_res,castro,res,11/17/2025,16:41:13,0,2,80
gayborhood,gay,marina_res,castro,res,11/17/2025,16:44:06,0,2,81
upscale,upscale,marina_res,marina,res,11/17/2025,16:44:06,0,1,81
fun_place,fun,marina_res,marina,res,11/17/2025,16:46:08,0,1,82
great_place_(ive_never_lived_there_though),great,marina_res,castro,res,11/17/2025,16:46:08,0,2,82
butt_heads,buttheads,marina_res,marina,res,11/17/2025,16:49:35,0,1,83
gay,gay,marina_res,castro,res,11/17/2025,16:49:35,0,2,83
not_flat,hilly,marina_res,castro,res,11/17/2025,16:53:22,0,2,84
flat,flat,marina_res,marina,res,11/17/2025,16:53:22,0,1,84
castro_(ive_been_here_so_long_they_are_just_what_they_are_),castro,marina_res,castro,res,11/17/2025,16:59:55,0,2,85
marina,marina,marina_res,marina,res,11/17/2025,16:59:55,0,1,85
high_end,upscale,marina_res,marina,res,11/17/2025,17:04:07,0,1,86
wonderful/the_gay_part,wonderful,marina_res,castro,res,11/17/2025,17:04:07,1,2,86
cold,cold,marina_res,marina,res,11/17/2025,17:19:20,1,1,87
fun,fun,marina_res,castro,res,11/17/2025,17:19:20,0,2,87
by_the_sea,sea,marina_res,marina,res,11/17/2025,17:20:41,0,1,88
at_the_base_of_the_hills,valley,marina_res,castro,res,11/17/2025,17:20:41,0,2,88
finance_people,finance,marina_res,marina,res,11/17/2025,17:27:26,1,1,89
gay_guys,gay,marina_res,castro,res,11/17/2025,17:27:26,0,2,89
i_don't_want_to_answer_that,antitask,marina_res,castro,res,11/17/2025,17:29:00,0,2,90
family,family,marina_res,marina,res,11/17/2025,17:29:00,0,1,90
very_gay,gay,marina_res,castro,res,11/17/2025,17:30:44,0,2,91
bougie,bougie,marina_res,marina,res,11/17/2025,17:30:44,0,1,91
gay_now_families,gay,marina_res,castro,res,11/17/2025,17:32:20,1,2,92
young,young,marina_res,marina,res,11/17/2025,17:32:20,0,1,92
homogenous,homogenous,marina_res,marina,res,11/17/2025,17:34:05,1,1,93
progressive,progressive,marina_res,castro,res,11/17/2025,17:34:05,1,2,93
i've_never_been_there,antitask,marina_res,castro,res,11/17/2025,17:38:07,0,2,94
cosy,cosy,marina_res,marina,res,11/17/2025,17:38:07,0,1,94
positive,positive,marina_res,marina,res,11/17/2025,17:39:16,0,1,95
lively,lively,marina_res,castro,res,11/17/2025,17:39:16,0,2,95
never_been,antitask,marina_res,castro,res,11/17/2025,17:40:51,0,2,96
lively,lively,marina_res,marina,res,11/17/2025,17:40:51,0,1,96
maybe_fun,fun,marina_res,castro,res,11/17/2025,17:42:33,0,2,97
fun,fun,marina_res,marina,res,11/17/2025,17:42:33,0,1,97
beatiful/_young,beautiful,marina_res,marina,res,11/17/2025,17:43:47,1,1,98
vibrant/_gay,vibrant,marina_res,castro,res,11/17/2025,17:43:47,1,2,98
i'm_new_to_the_city,antitask,marina_res,castro,res,11/17/2025,17:45:29,0,2,99
silly,silly,marina_res,marina,res,11/17/2025,17:45:29,1,1,99
i_just_moved_here,antitask,marina_res,castro,res,11/17/2025,17:45:43,0,2,100
fun,fun,marina_res,marina,res,11/17/2025,17:45:43,0,1,100
i've_never_been_there,antitask,marina_res,castro,res,11/17/2025,17:47:14,0,2,101
fancy,fancy,marina_res,marina,res,11/17/2025,17:47:14,0,1,101
frat,frat,marina_res,marina,res,11/17/2025,17:47:37,0,1,102
fun,fun,marina_res,castro,res,11/17/2025,17:47:37,0,2,102
a_harbor,harbor,marina_res,marina,res,11/17/2025,17:50:22,0,1,103
neighborhood,neighborhood,marina_res,castro,res,11/17/2025,17:50:22,1,2,103
don't_go_enough_to_give_you_that_unfortunately,antitask,marina_res,castro,res,11/17/2025,17:53:15,0,2,104
stereotypical,stereotypical,marina_res,marina,res,11/17/2025,17:53:15,0,1,104
old_and_new...._character,eclectic,marina_res,marina,res,11/17/2025,17:54:17,1,1,105
old_fashioned,old,marina_res,castro,res,11/17/2025,17:54:17,1,2,105
nice_a_little_stale_green,nice,marina_res,marina,res,11/17/2025,17:54:53,0,1,106
unique_original_a_little_dirty,unique,marina_res,castro,res,11/17/2025,17:54:53,0,2,106
expensive,expensive,marina_res,marina,res,11/19/2025,14:47:15,0,1,107
vibrant,vibrant,marina_res,castro,res,11/19/2025,14:47:15,1,2,107
a_great_neighborhood_too,great,marina_res,castro,res,11/19/2025,14:49:30,0,2,108
amazing,amazing,marina_res,marina,res,11/19/2025,14:49:30,0,1,108
"gay_capital_of_the_world_(""all_in_one_word"")",gay,marina_res,castro,res,11/19/2025,14:50:12,0,2,109
pretentious,pretentious,marina_res,marina,res,11/19/2025,14:50:12,0,1,109
i_don't_think_i've_been_to_the_castro_i'm_a_visitor,antitask,marina_res,castro,res,11/19/2025,14:51:25,0,2,110
coziness,coziness,marina_res,marina,res,11/19/2025,14:51:25,0,1,110
i_don't_know_i'm_sorry,antitask,marina_res,castro,res,11/19/2025,14:53:39,0,2,111
chilly,chilly,marina_res,marina,res,11/19/2025,14:53:39,1,1,111
youthful,youthful,marina_res,marina,res,11/19/2025,14:53:47,1,1,112
changing,changing,marina_res,castro,res,11/19/2025,14:53:47,1,2,112
young,young,marina_res,marina,res,11/19/2025,14:54:13,0,1,113
gay,gay,marina_res,castro,res,11/19/2025,14:54:13,0,2,113
energetic,energetic,marina_res,marina,res,11/19/2025,14:55:46,1,1,114
colorful,colorful,marina_res,castro,res,11/19/2025,14:55:46,0,2,114
yuppie,yuppie,marina_res,marina,res,11/19/2025,14:56:36,0,1,115
gay,gay,marina_res,castro,res,11/19/2025,14:56:36,0,2,115
bougie_(depends_on_who_is_asking),bougie,marina_res,marina,res,11/19/2025,14:57:16,1,1,116
gay,gay,marina_res,castro,res,11/19/2025,14:57:16,0,2,116
dog_friendly,dog,marina_res,marina,res,11/19/2025,15:01:30,0,1,117
i_don't_know,antitask,marina_res,castro,res,11/19/2025,15:01:30,0,2,117
varied,varied,marina_res,marina,res,11/19/2025,15:03:26,0,1,118
beautiful,beautiful,marina_res,castro,res,11/19/2025,15:03:26,0,2,118
post-college_post-grad_school_young_professionals_turning_into_families,yuppie,marina_res,marina,res,11/19/2025,15:05:20,0,1,119
i_don't_know_about_that,antitask,marina_res,castro,res,11/19/2025,15:05:20,0,2,119
basic,basic,marina_res,marina,res,11/19/2025,15:07:40,0,1,120
dance,dance,marina_res,castro,res,11/19/2025,15:07:40,0,2,120
pretty_busy,busy,marina_res,castro,res,11/19/2025,15:08:03,0,2,121
gorgeous,gorgeous,marina_res,marina,res,11/19/2025,15:08:03,0,1,121
teaming,teaming,marina_res,marina,res,11/19/2025,15:08:45,1,1,122
colorful,colorful,marina_res,castro,res,11/19/2025,15:08:45,0,2,122
upper_middle_class,upper_middle_class,marina_res,marina,res,11/19/2025,15:08:49,0,1,123
gay,gay,marina_res,castro,res,11/19/2025,15:08:49,0,2,123
i_don't_know_the_castro_so_well,antitask,marina_res,castro,res,11/19/2025,15:10:17,0,2,124
social,social,marina_res,marina,res,11/19/2025,15:10:17,0,1,124
transplant,transplant,marina_res,marina,res,11/19/2025,15:10:35,0,1,125
colorful,colorful,marina_res,castro,res,11/19/2025,15:10:35,0,2,125
way_better,better,marina_res,castro,res,11/19/2025,15:11:20,0,2,126
ehhh,ehhh,marina_res,marina,res,11/19/2025,15:11:20,0,1,126
energetic,energetic,marina_res,marina,res,11/19/2025,15:11:55,0,1,127
vibrant,vibrant,marina_res,castro,res,11/19/2025,15:11:55,0,2,127
buzzy,buzzy,marina_res,marina,res,11/19/2025,15:14:31,0,1,128
spicy,spicy,marina_res,castro,res,11/19/2025,15:14:31,1,2,128
affluent,affluent,marina_res,marina,res,11/19/2025,15:15:39,0,1,129
gay,gay,marina_res,castro,res,11/19/2025,15:15:39,1,2,129
eclectic,eclectic,marina_res,marina,res,11/19/2025,15:15:41,0,1,130
fun,fun,marina_res,castro,res,11/19/2025,15:15:41,0,2,130
terrifying,terrifying,marina_res,marina,res,11/19/2025,15:17:15,0,1,131
sad,sad,marina_res,castro,res,11/19/2025,15:17:15,0,2,131
active,active,marina_res,marina,res,11/19/2025,15:18:02,0,1,132
friendly,friendly,marina_res,castro,res,11/19/2025,15:18:02,1,2,132
i_don't_usually_go_over_there_so_i'm_not_really_sure,antitask,marina_res,castro,res,11/19/2025,15:18:57,0,2,133
walkable,walkable,marina_res,marina,res,11/19/2025,15:18:57,0,1,133
unhinged,unhinged,marina_res,marina,res,11/19/2025,15:20:09,0,1,134
fun,fun,marina_res,castro,res,11/19/2025,15:20:09,0,2,134
privileged,privileged,marina_res,marina,res,11/19/2025,15:20:45,0,1,135
gay,gay,marina_res,castro,res,11/19/2025,15:20:45,0,2,135
i've_never_been_there,antitask,marina_res,castro,res,11/19/2025,15:22:22,0,2,136
flat,flat,marina_res,marina,res,11/19/2025,15:22:22,0,1,136
cool_(with_effect_potentially_ironic?),cool,marina_res,marina,res,11/19/2025,15:23:24,0,1,137
less_cool_but_cool,cool,marina_res,castro,res,11/19/2025,15:23:24,0,2,137
not_for_me,antitask,marina_res,castro,res,11/19/2025,15:24:23,0,2,138
lovely,lovely,marina_res,marina,res,11/19/2025,15:24:23,0,1,138
i_haven't_been_there,antitask,marina_res,castro,res,11/19/2025,15:25:22,0,2,139
lively,lively,marina_res,marina,res,11/19/2025,15:25:22,0,1,139
privileged_(derogatory),privileged,marina_res,marina,res,11/19/2025,15:25:24,0,1,140
vibrant,vibrant,marina_res,castro,res,11/19/2025,15:25:24,0,2,140
unknown_(or_halloween),antitask,marina_res,castro,res,11/19/2025,15:27:05,1,2,141
restaurants,restaurants,marina_res,marina,res,11/19/2025,15:27:05,0,1,141
idk_i've_never_been_there,antitask,marina_res,castro,res,11/19/2025,15:29:49,0,2,142
central,central,marina_res,marina,res,11/19/2025,15:29:49,0,1,142
vibrant,vibrant,marina_res,marina,res,11/19/2025,15:30:34,0,1,143
vibrant,vibrant,marina_res,castro,res,11/19/2025,15:30:34,0,2,143
gay_families_restaurants_good_homes,gay,marina_res,castro,res,11/19/2025,15:31:38,0,2,144
pleasant,pleasant,marina_res,marina,res,11/19/2025,15:31:38,0,1,144
attractive,attractive,marina_res,marina,res,11/19/2025,15:33:04,1,1,145
gay,gay,marina_res,castro,res,11/19/2025,15:33:04,0,2,145
not_too_exciting._not_a_place_i'd_go_to,not_exciting,marina_res,castro,res,11/19/2025,15:37:31,0,2,146
simple,simple,marina_res,marina,res,11/19/2025,15:37:31,0,1,146
safe,safe,marina_res,marina,res,11/19/2025,15:38:06,0,1,147
gay,gay,marina_res,castro,res,11/19/2025,15:38:06,0,2,147
pretty_hip,hip,marina_res,marina,res,11/19/2025,15:39:06,0,1,148
very_lively,lively,marina_res,castro,res,11/19/2025,15:39:06,0,2,148
i've_only_driven_through_the_castro_a_couple_of_times_so_idk,antitask,marina_res,castro,res,11/19/2025,15:40:33,0,2,149
vibey,vibey,marina_res,marina,res,11/19/2025,15:40:33,0,1,149
i_don't_know,antitask,marina_res,castro,res,11/19/2025,15:40:51,0,2,150
families,families,marina_res,marina,res,11/19/2025,15:40:51,0,1,150
in_a_bubble,bubble,marina_res,marina,res,11/19/2025,15:41:32,0,1,151
fun,fun,marina_res,castro,res,11/19/2025,15:41:32,0,2,151
fratty,frat,marina_res,marina,res,11/19/2025,15:41:52,0,1,152
fruity,fruity,marina_res,castro,res,11/19/2025,15:41:52,0,2,152
best_(for_nannies),nannies,marina_res,marina,res,11/19/2025,15:45:14,0,1,153
