response,clean_response,fieldsite,response_site,participants,date,collect_time,slow,order,pair_id
i_don't_know,antitask,marina_res,castro,res,11/19/2025,15:45:14,0,2,153
homogenous,homogenous,marina_res,marina,res,11/19/2025,15:45:29,0,1,154
alive,alive,marina_res,castro,res,11/19/2025,15:45:29,0,2,154
awesome,awesome,marina_res,marina,res,11/19/2025,15:46:37,0,1,155
great,great,marina_res,castro,res,11/19/2025,15:46:37,0,2,155
the_chief_gay_district_in_the_city,gay,marina_res,castro,res,11/19/2025,15:47:24,0,2,156
flat,flat,marina_res,marina,res,11/19/2025,15:47:24,0,1,156
i_dunno,antitask,marina_res,castro,res,11/19/2025,15:47:51,0,2,157
pleasant,pleasant,marina_res,marina,res,11/19/2025,15:47:51,0,1,157
beautiful,beautiful,marina_res,marina,res,11/19/2025,15:49:19,1,1,158
lively,lively,marina_res,castro,res,11/19/2025,15:49:19,0,2,158
extravagant,extravagant,mission_res,mission,res,11/11/2025,14:41:44,1,1,159
gay,gay,mission_res,castro,res,11/11/2025,14:41:44,1,2,159
fake,fake,mission_res,mission,res,11/11/2025,14:43:42,0,1,160
gay,gay,mission_res,castro,res,11/11/2025,14:43:42,0,2,160
chaotic,chaotic,mission_res,mission,res,11/11/2025,14:44:20,0,1,161
fun,fun,mission_res,castro,res,11/11/2025,14:44:20,0,2,161
enjoyable,enjoyable,mission_res,mission,res,11/11/2025,14:45:22,0,1,162
farther,farther,mission_res,castro,res,11/11/2025,14:45:22,0,2,162
bonito,bonito,mission_res,mission,res,11/11/2025,14:46:57,1,1,163
bonito,bonito,mission_res,castro,res,11/11/2025,14:46:57,0,2,163
character,character,mission_res,mission,res,11/11/2025,14:47:08,0,1,164
gay,gay,mission_res,castro,res,11/11/2025,14:47:08,0,2,164
diverse,diverse,mission_res,mission,res,11/11/2025,14:48:37,1,1,165
gay,gay,mission_res,castro,res,11/11/2025,14:48:37,0,2,165
robust,robust,mission_res,mission,res,11/11/2025,14:49:52,1,1,166
gay,gay,mission_res,castro,res,11/11/2025,14:49:52,0,2,166
peligrosa,peligroso,mission_res,mission,res,11/11/2025,14:50:39,1,1,167
bonita,bonito,mission_res,castro,res,11/11/2025,14:50:39,1,2,167
tight,tight,mission_res,mission,res,11/11/2025,14:51:19,1,1,168
colorful,colorful,mission_res,castro,res,11/11/2025,14:51:19,0,2,168
también_bonito,bonito,mission_res,castro,res,11/11/2025,14:51:50,0,2,169
bonito,bonito,mission_res,mission,res,11/11/2025,14:51:50,0,1,169
colorful,colorful,mission_res,mission,res,11/11/2025,14:52:40,0,1,170
spanky,spanky,mission_res,castro,res,11/11/2025,14:52:40,0,2,170
amazing,amazing,mission_res,mission,res,11/11/2025,14:55:43,0,1,171
fun,fun,mission_res,castro,res,11/11/2025,14:55:43,1,2,171
colourful,colorful,mission_res,mission,res,11/11/2025,14:55:50,0,1,172
rainbow,rainbow,mission_res,castro,res,11/11/2025,14:55:50,0,2,172
vibrant,vibrant,mission_res,mission,res,11/11/2025,14:56:01,1,1,173
exciting,exciting,mission_res,castro,res,11/11/2025,14:56:01,0,2,173
lively,lively,mission_res,mission,res,11/11/2025,14:58:28,1,1,174
colorful,colorful,mission_res,castro,res,11/11/2025,14:58:28,0,2,174
vibrant,vibrant,mission_res,mission,res,11/11/2025,14:59:11,0,1,175
poppin,poppin,mission_res,castro,res,11/11/2025,14:59:11,0,2,175
dichotomy,dichotomy,mission_res,mission,res,11/11/2025,15:00:49,0,1,176
fun,fun,mission_res,castro,res,11/11/2025,15:00:49,0,2,176
queer_history,queer,mission_res,castro,res,11/11/2025,15:01:28,0,2,177
flags,flags,mission_res,mission,res,11/11/2025,15:01:28,1,1,177
creative,creative,mission_res,mission,res,11/11/2025,15:03:34,0,1,178
na,antitask,mission_res,castro,res,11/11/2025,15:03:34,0,2,178
interesting,interesting,mission_res,mission,res,11/11/2025,15:04:02,1,1,179
different,different,mission_res,castro,res,11/11/2025,15:04:02,0,2,179
authentic,authentic,mission_res,mission,res,11/11/2025,15:04:53,1,1,180
liberating,liberating,mission_res,castro,res,11/11/2025,15:04:53,1,2,180
beautiful,beautiful,mission_res,mission,res,11/11/2025,15:05:25,0,1,181
gorgeous,gorgeous,mission_res,castro,res,11/11/2025,15:05:25,0,2,181
edge,edge,mission_res,mission,res,11/11/2025,15:06:18,0,1,182
love,love,mission_res,castro,res,11/11/2025,15:06:18,1,2,182
home,home,mission_res,mission,res,11/11/2025,15:06:23,0,1,183
lively,lively,mission_res,castro,res,11/11/2025,15:06:23,1,2,183
eclectic,eclectic,mission_res,mission,res,11/11/2025,15:08:17,0,1,184
shiny,shiny,mission_res,castro,res,11/11/2025,15:08:17,0,2,184
sunny,sunny,mission_res,mission,res,11/11/2025,15:08:54,1,1,185
colourful,colorful,mission_res,castro,res,11/11/2025,15:08:54,1,2,185
hispanic,hispanic,mission_res,mission,res,11/11/2025,15:09:33,0,1,186
gay,gay,mission_res,castro,res,11/11/2025,15:09:33,0,2,186
cosmopolitan,cosmopolitan,mission_res,mission,res,11/11/2025,15:09:56,0,1,187
gay,gay,mission_res,castro,res,11/11/2025,15:09:56,0,2,187
eclectic,eclectic,mission_res,mission,res,11/11/2025,15:11:00,0,1,188
na,antitask,mission_res,castro,res,11/11/2025,15:11:00,0,2,188
beautiful,beautiful,mission_res,mission,res,11/11/2025,15:12:34,0,1,189
beautiful,beautiful,mission_res,castro,res,11/11/2025,15:12:34,0,2,189
amazing,amazing,mission_res,mission,res,11/11/2025,15:13:41,0,1,190
cool,cool,mission_res,castro,res,11/11/2025,15:13:41,0,2,190
gay_*but_is_changing,gay,mission_res,castro,res,11/11/2025,15:14:45,1,2,191
diverse,diverse,mission_res,mission,res,11/11/2025,15:14:45,0,1,191
eclectic,eclectic,mission_res,mission,res,11/11/2025,15:15:09,1,1,192
open,open,mission_res,castro,res,11/11/2025,15:15:09,0,2,192
party_time,party,mission_res,castro,res,11/11/2025,15:16:25,1,2,193
flavorful,flavorful,mission_res,mission,res,11/11/2025,15:16:25,1,1,193
also_amazing,amazing,mission_res,castro,res,11/11/2025,15:17:18,0,2,194
amazing,amazing,mission_res,mission,res,11/11/2025,15:17:18,0,1,194
heritage,heritage,mission_res,mission,res,11/11/2025,15:19:51,0,1,195
legacy,legacy,mission_res,castro,res,11/11/2025,15:19:51,0,2,195
gentrified,gentrified,mission_res,mission,res,11/11/2025,15:21:14,0,1,196
transplants,transplants,mission_res,castro,res,11/11/2025,15:21:14,0,2,196
hispanic,hispanic,mission_res,mission,res,11/11/2025,15:22:20,0,1,197
drugs,drugs,mission_res,castro,res,11/11/2025,15:22:20,1,2,197
beautiful_(changed_to_cultural_after_castro),beautiful,mission_res,mission,res,11/11/2025,15:25:04,1,1,198
gay_and_fun,gay,mission_res,castro,res,11/11/2025,15:25:04,0,2,198
also_beautiful,beautiful,mission_res,castro,res,11/11/2025,15:26:01,0,2,199
beautiful,beautiful,mission_res,mission,res,11/11/2025,15:26:01,0,1,199
chill,chill,mission_res,mission,res,11/11/2025,15:28:46,0,1,200
hectic,hectic,mission_res,castro,res,11/11/2025,15:28:46,0,2,200
vibrant,vibrant,mission_res,mission,res,11/11/2025,15:30:57,0,1,201
exuberant,exuberant,mission_res,castro,res,11/11/2025,15:30:57,0,2,201
bien_bonito,bonito,mission_res,mission,res,11/11/2025,15:36:33,0,1,202
igual,bonito,mission_res,castro,res,11/11/2025,15:36:33,0,2,202
wonderful,wonderful,mission_res,mission,res,11/11/2025,15:37:13,0,1,203
different,different,mission_res,castro,res,11/11/2025,15:37:13,0,2,203
fun,fun,mission_res,mission,res,11/11/2025,15:37:23,0,1,204
clean,clean,mission_res,castro,res,11/11/2025,15:37:23,1,2,204
community,community,mission_res,mission,res,11/11/2025,15:38:12,0,1,205
historical,historic,mission_res,castro,res,11/11/2025,15:38:12,0,2,205
unique,unique,mission_res,mission,res,11/11/2025,15:39:16,0,1,206
diversity,diverse,mission_res,castro,res,11/11/2025,15:39:16,1,2,206
gritty,gritty,mission_res,mission,res,11/11/2025,15:40:07,1,1,207
rainbow,rainbow,mission_res,castro,res,11/11/2025,15:40:07,0,2,207
comunidad_latina,latino,mission_res,mission,res,11/11/2025,15:42:45,1,1,208
genero_diferente,gender,mission_res,castro,res,11/11/2025,15:42:45,1,2,208
fun,fun,mission_res,mission,res,11/11/2025,15:44:14,0,1,209
fun,fun,mission_res,castro,res,11/11/2025,15:44:14,0,2,209
colourful,colorful,mission_res,mission,res,11/11/2025,15:45:44,1,1,210
trendier,trendier,mission_res,castro,res,11/11/2025,15:45:44,1,2,210
diverse,diverse,mission_res,mission,res,11/11/2025,15:46:07,0,1,211
exciting,exciting,mission_res,castro,res,11/11/2025,15:46:07,0,2,211
latinos,latino,mission_res,mission,res,11/11/2025,15:48:21,0,1,212
especial,especial,mission_res,castro,res,11/11/2025,15:48:21,1,2,212
home,home,mission_res,mission,res,11/11/2025,15:48:50,1,1,213
close,close,mission_res,castro,res,11/11/2025,15:48:50,1,2,213
eclectic,eclectic,mission_res,mission,res,11/11/2025,15:49:48,0,1,214
gay,gay,mission_res,castro,res,11/11/2025,15:49:48,0,2,214
eclectic,eclectic,mission_res,mission,res,11/11/2025,15:50:22,0,1,215
vibrant,vibrant,mission_res,castro,res,11/11/2025,15:50:22,0,2,215
comunidad_latina,latino,mission_res,mission,res,11/11/2025,15:51:30,1,1,216
también_comunidad,community,mission_res,castro,res,11/11/2025,15:51:30,1,2,216
complicated,complicated,mission_res,mission,res,11/11/2025,15:52:25,0,1,217
vibrant,vibrant,mission_res,castro,res,11/11/2025,15:52:25,1,2,217
familiar,familiar,mission_res,mission,res,11/11/2025,15:53:26,1,1,218
igual,familiar,mission_res,castro,res,11/11/2025,15:53:26,0,2,218
colorful,colorful,mission_res,mission,res,11/11/2025,15:55:06,1,1,219
festive,festive,mission_res,castro,res,11/11/2025,15:55:06,0,2,219
bueno_de_latinos,latino,mission_res,mission,res,11/11/2025,15:55:14,0,1,220
gay,gay,mission_res,castro,res,11/11/2025,15:55:14,0,2,220
culture,culture,mission_res,mission,res,11/11/2025,15:56:02,1,1,221
colourful,colorful,mission_res,castro,res,11/11/2025,15:56:02,0,2,221
pretty,pretty,mission_res,mission,res,11/11/2025,15:56:47,1,1,222
nice,nice,mission_res,castro,res,11/11/2025,15:56:47,1,2,222
awesome,awesome,mission_res,mission,res,11/11/2025,15:57:49,0,1,223
fun,fun,mission_res,castro,res,11/11/2025,15:57:49,1,2,223
vibrant,vibrant,mission_res,mission,res,11/11/2025,15:58:08,0,1,224
eclectic,eclectic,mission_res,castro,res,11/11/2025,15:58:08,0,2,224
fun,fun,mission_res,mission,res,11/11/2025,15:58:51,0,1,225
funner,funner,mission_res,castro,res,11/11/2025,15:58:51,0,2,225
bien_sucio,sucio,mission_res,mission,res,11/11/2025,15:59:00,0,1,226
tranquilo,tranquilo,mission_res,castro,res,11/11/2025,15:59:00,1,2,226
expansive,expansive,mission_res,mission,res,11/11/2025,15:59:47,0,1,227
gay,gay,mission_res,castro,res,11/11/2025,15:59:47,0,2,227
eclectic,eclectic,mission_res,mission,res,11/11/2025,16:01:27,0,1,228
colorful,colorful,mission_res,castro,res,11/11/2025,16:01:27,0,2,228
also_spicy,spicy,mission_res,castro,res,11/11/2025,16:02:05,0,2,229
spicy,spicy,mission_res,mission,res,11/11/2025,16:02:05,0,1,229
diverse,diverse,mission_res,mission,res,11/11/2025,16:03:12,0,1,230
fun,fun,mission_res,castro,res,11/11/2025,16:03:12,0,2,230
latino,latino,mission_res,mission,res,11/11/2025,16:04:16,0,1,231
comunidad,comunidad,mission_res,castro,res,11/11/2025,16:04:16,1,2,231
beautiful,beautiful,mission_res,mission,res,11/11/2025,16:05:02,0,1,232
stunning,stunning,mission_res,castro,res,11/11/2025,16:05:02,0,2,232
vibrant_dying,vibrant,mission_res,mission,res,11/11/2025,16:05:42,0,1,233
also_dying,dying,mission_res,castro,res,11/11/2025,16:05:42,0,2,233
eclectic,eclectic,mission_res,mission,res,11/11/2025,16:06:20,1,1,234
friendly,friendly,mission_res,castro,res,11/11/2025,16:06:20,1,2,234
vibrant,vibrant,mission_res,mission,res,11/11/2025,16:06:40,0,1,235
gay,gay,mission_res,castro,res,11/11/2025,16:06:40,0,2,235
"comunidad_(changes_to_""cultura""_after_hearing_castro)",comunidad,mission_res,mission,res,11/11/2025,16:08:51,0,1,236
comunidad,comunidad,mission_res,castro,res,11/11/2025,16:08:51,1,2,236
mexican,mexican,mission_res,mission,res,11/11/2025,16:09:33,0,1,237
naked,naked,mission_res,castro,res,11/11/2025,16:09:33,1,2,237
home,home,mission_res,mission,res,11/11/2025,16:10:15,1,1,238
alive,alive,mission_res,castro,res,11/11/2025,16:10:15,0,2,238
vibrant,vibrant,mission_res,mission,res,11/11/2025,16:10:45,0,1,239
community,community,mission_res,castro,res,11/11/2025,16:10:45,0,2,239
artistic,artistic,mission_res,mission,res,11/11/2025,16:12:57,1,1,240
quiet,quiet,mission_res,castro,res,11/11/2025,16:12:57,1,2,240
vibrant,vibrant,mission_res,mission,res,11/11/2025,16:14:43,1,1,241
dynamic,dynamic,mission_res,castro,res,11/11/2025,16:14:43,1,2,241
dynamic,dynamic,mission_res,mission,res,11/11/2025,16:14:53,0,1,242
gay,gay,mission_res,castro,res,11/11/2025,16:14:53,0,2,242
gay,gay,marina_res,castro,res,11/17/2025,16:41:36,0,1,243
preppy,preppy,marina_res,marina,res,11/17/2025,16:41:36,0,2,243
lively,lively,marina_res,castro,res,11/17/2025,16:42:35,1,1,244
yuppies,yuppie,marina_res,marina,res,11/17/2025,16:42:35,0,2,244
pride,pride,marina_res,castro,res,11/17/2025,16:43:02,0,1,245
water,water,marina_res,marina,res,11/17/2025,16:43:02,0,2,245
pride,pride,marina_res,castro,res,11/17/2025,16:45:53,0,1,246
meh,meh,marina_res,marina,res,11/17/2025,16:45:53,0,2,246
lively,lively,marina_res,castro,res,11/17/2025,16:47:10,0,1,247
approachable,approachable,marina_res,marina,res,11/17/2025,16:47:10,0,2,247
sf,sf,marina_res,castro,res,11/17/2025,16:47:36,0,1,248
sf,sf,marina_res,marina,res,11/17/2025,16:47:36,0,2,248
fun,fun,marina_res,castro,res,11/17/2025,16:48:08,0,1,249
work,work,marina_res,marina,res,11/17/2025,16:48:08,0,2,249
gay,gay,marina_res,castro,res,11/17/2025,16:48:31,0,1,250
white,white,marina_res,marina,res,11/17/2025,16:48:31,0,2,250
lit,lit,marina_res,castro,res,11/17/2025,16:48:58,1,1,251
fun,fun,marina_res,marina,res,11/17/2025,16:48:58,1,2,251
gay,gay,marina_res,castro,res,11/17/2025,16:50:22,0,1,252
white,white,marina_res,marina,res,11/17/2025,16:50:22,0,2,252
dinero_(long_response),dinero,marina_res,marina,res,11/17/2025,16:51:17,1,2,253
nada,nada,marina_res,castro,res,11/17/2025,16:51:17,1,1,253
marina_meats,marina_meats,marina_res,marina,res,11/17/2025,16:52:17,1,2,254
soulcycle,soulcycle,marina_res,castro,res,11/17/2025,16:52:17,0,1,254
big_change_(personally_used_to_live_in_the_castro),change,marina_res,marina,res,11/17/2025,16:53:27,0,2,255
beautiful,beautiful,marina_res,castro,res,11/17/2025,16:53:27,0,1,255
rainbow,rainbow,marina_res,castro,res,11/17/2025,16:55:47,1,1,256
frat,frat,marina_res,marina,res,11/17/2025,16:55:47,0,2,256
young_people,young,marina_res,marina,res,11/17/2025,16:56:45,0,2,257
hippies,hippies,marina_res,castro,res,11/17/2025,16:56:45,0,1,257
fun_lively,fun,marina_res,castro,res,11/17/2025,17:00:09,0,1,258
hustling_bustling,bustling,marina_res,marina,res,11/17/2025,17:00:09,0,2,258
homosexuales_y_lesbianas,homosexuales,marina_res,castro,res,11/17/2025,17:01:40,0,1,259
turismo_lanchas,tourists,marina_res,marina,res,11/17/2025,17:01:40,0,2,259
gay,gay,marina_res,castro,res,11/17/2025,17:02:08,0,1,260
frat,frat,marina_res,marina,res,11/17/2025,17:02:08,0,2,260
young_people,young,marina_res,marina,res,11/17/2025,17:03:00,0,2,261
colors,colors,marina_res,castro,res,11/17/2025,17:03:00,0,1,261
castro_theater,theater,marina_res,castro,res,11/17/2025,17:04:34,0,1,262
yuppie,yuppie,marina_res,marina,res,11/17/2025,17:04:34,1,2,262
gay,gay,marina_res,castro,res,11/17/2025,17:05:27,0,1,263
boujee,boujee,marina_res,marina,res,11/17/2025,17:05:27,0,2,263
never_go_there,antitask,marina_res,castro,res,11/17/2025,17:07:37,0,1,264
the_best,best,marina_res,marina,res,11/17/2025,17:07:37,0,2,264
good_restaurants,restaurants,marina_res,castro,res,11/17/2025,17:09:16,0,1,265
god_restaurants,restaurants,marina_res,marina,res,11/17/2025,17:09:16,0,2,265
by_the_water,water,marina_res,marina,res,11/17/2025,17:09:55,0,2,266
vibrant,vibrant,marina_res,castro,res,11/17/2025,17:09:55,0,1,266
gay_district,gay,marina_res,castro,res,11/17/2025,17:10:52,0,1,267
college_area,college,marina_res,marina,res,11/17/2025,17:10:52,0,2,267
gay,gay,marina_res,castro,res,11/17/2025,17:12:52,0,1,268
rich,rich,marina_res,marina,res,11/17/2025,17:12:52,0,2,268
near_the_mission,mission,marina_res,castro,res,11/17/2025,17:15:08,1,1,269
gentrified,gentrified,marina_res,marina,res,11/17/2025,17:15:08,0,2,269
pride,pride,marina_res,castro,res,11/17/2025,17:17:53,0,1,270
peace,peace,marina_res,marina,res,11/17/2025,17:17:53,0,2,270
less_fun,less_fun,marina_res,marina,res,11/17/2025,17:18:43,0,2,271
fun,fun,marina_res,castro,res,11/17/2025,17:18:43,0,1,271
party,party,marina_res,castro,res,11/17/2025,17:20:07,0,1,272
white,white,marina_res,marina,res,11/17/2025,17:20:07,0,2,272
theater,theater,marina_res,castro,res,11/17/2025,17:21:13,0,1,273
restaurants,restaurants,marina_res,marina,res,11/17/2025,17:21:13,0,2,273
chestnut_st,chestnut,marina_res,marina,res,11/17/2025,17:22:02,1,2,274
theater,theater,marina_res,castro,res,11/17/2025,17:22:02,1,1,274
bars_and_restaurants,bars,marina_res,marina,res,11/17/2025,17:27:17,1,2,275
parties,party,marina_res,castro,res,11/17/2025,17:27:17,0,1,275
gay,gay,marina_res,castro,res,11/17/2025,17:28:32,0,1,276
privilege,privileged,marina_res,marina,res,11/17/2025,17:28:32,0,2,276
hot_girls,hot_girls,marina_res,marina,res,11/17/2025,17:33:27,1,2,277
gay,gay,marina_res,castro,res,11/17/2025,17:33:27,0,1,277
great_place_to_be,great,marina_res,marina,res,11/17/2025,17:39:06,0,2,278
dead,dead,marina_res,castro,res,11/17/2025,17:39:06,0,1,278
gay,gay,marina_res,castro,res,11/17/2025,17:40:22,0,1,279
bro,bro,marina_res,marina,res,11/17/2025,17:40:22,0,2,279
my_brother_lives_there,brother,marina_res,castro,res,11/17/2025,17:45:20,0,1,280
i_live_here,live,marina_res,marina,res,11/17/2025,17:45:20,0,2,280
white_bitches,white,marina_res,marina,res,11/17/2025,17:46:05,0,2,281
gay,gay,marina_res,castro,res,11/17/2025,17:46:05,0,1,281
dude_idk_it’s_like_my_third_day_in_the_us,antitask,marina_res,marina,res,11/17/2025,17:48:01,0,2,282
gay,gay,marina_res,castro,res,11/17/2025,17:48:01,0,1,282
gay,gay,marina_res,castro,res,11/17/2025,17:58:41,0,1,283
douchey,douchey,marina_res,marina,res,11/17/2025,17:58:41,0,2,283
architecture,architecture,marina_res,castro,res,11/19/2025,15:51:47,0,1,284
active,active,marina_res,marina,res,11/19/2025,15:51:47,0,2,284
just_visited,visited,marina_res,marina,res,11/19/2025,15:55:19,0,2,285
unknown,unknown,marina_res,castro,res,11/19/2025,15:55:19,0,1,285
gay,gay,marina_res,castro,res,11/19/2025,16:00:00,0,1,286
frat,frat,marina_res,marina,res,11/19/2025,16:00:00,0,2,286
gay,gay,marina_res,castro,res,11/19/2025,16:01:50,0,1,287
la,la,marina_res,marina,res,11/19/2025,16:01:50,0,2,287
personality,personality,marina_res,castro,res,11/19/2025,16:02:46,1,1,288
cozy,cozy,marina_res,marina,res,11/19/2025,16:02:46,0,2,288
fun,fun,marina_res,castro,res,11/19/2025,16:05:46,0,1,289
young,young,marina_res,marina,res,11/19/2025,16:05:46,0,2,289
gay,gay,marina_res,castro,res,11/19/2025,16:10:17,0,1,290
white,white,marina_res,marina,res,11/19/2025,16:10:17,0,2,290
sf_fun_friendly,fun,marina_res,castro,res,11/19/2025,16:13:24,0,1,291
safe_family,safe,marina_res,marina,res,11/19/2025,16:13:24,0,2,291
i_don't_know,antitask,marina_res,castro,res,11/19/2025,16:18:19,0,1,292
bougie,bougie,marina_res,marina,res,11/19/2025,16:18:19,0,2,292
historically_gay,gay,marina_res,castro,res,11/19/2025,16:20:44,0,1,293
affluent,affluent,marina_res,marina,res,11/19/2025,16:20:44,0,2,293
gay,gay,marina_res,castro,res,11/19/2025,16:22:13,0,1,294
preppy,preppy,marina_res,marina,res,11/19/2025,16:22:13,0,2,294
gay,gay,marina_res,castro,res,11/19/2025,16:23:17,0,1,295
wealthy,wealthy,marina_res,marina,res,11/19/2025,16:23:17,0,2,295
flamboyant,flamboyant,marina_res,castro,res,11/19/2025,16:24:01,0,1,296
preppy,preppy,marina_res,marina,res,11/19/2025,16:24:01,0,2,296
very_different_but_fun,different,marina_res,marina,res,11/19/2025,16:24:38,0,2,297
fun,fun,marina_res,castro,res,11/19/2025,16:24:38,0,1,297
vibrant,vibrant,marina_res,castro,res,11/19/2025,16:25:16,0,1,298
young,young,marina_res,marina,res,11/19/2025,16:25:16,0,2,298
diverse,diverse,marina_res,castro,res,11/19/2025,16:27:57,0,1,299
safe,safe,marina_res,marina,res,11/19/2025,16:27:57,0,2,299
fun_(character),fun,marina_res,castro,res,11/19/2025,16:29:44,0,1,300
basic_(family_forward),basic,marina_res,marina,res,11/19/2025,16:29:44,0,2,300
gay,gay,marina_res,castro,res,11/19/2025,16:30:04,0,1,301
preppy,preppy,marina_res,marina,res,11/19/2025,16:30:04,0,2,301
vibrant,vibrant,marina_res,castro,res,11/19/2025,16:31:05,0,1,302
straight,straight,marina_res,marina,res,11/19/2025,16:31:05,0,2,302
vibrant,vibrant,marina_res,castro,res,11/19/2025,16:31:18,0,1,303
comfortable,comfortable,marina_res,marina,res,11/19/2025,16:31:18,0,2,303
also_nice,nice,marina_res,marina,res,11/19/2025,16:35:19,0,2,304
nice,nice,marina_res,castro,res,11/19/2025,16:35:19,0,1,304
i'm_not_sure,antitask,marina_res,castro,res,11/19/2025,16:36:18,0,1,305
ocean,ocean,marina_res,marina,res,11/19/2025,16:36:18,0,2,305
fun,fun,marina_res,castro,res,11/19/2025,16:38:20,0,1,306
trendy,trendy,marina_res,marina,res,11/19/2025,16:38:20,1,2,306
i_don't_know,antitask,marina_res,castro,res,11/19/2025,16:39:08,0,1,307
nice,nice,marina_res,marina,res,11/19/2025,16:39:08,0,2,307
fun,fun,marina_res,castro,res,11/19/2025,16:41:52,0,1,308
fun,fun,marina_res,marina,res,11/19/2025,16:41:52,0,2,308
a_lot_going_on,bustling,marina_res,marina,res,11/19/2025,16:42:31,0,2,309
fun,fun,marina_res,castro,res,11/19/2025,16:42:31,0,1,309
don't_know_(i'm_visitng),antitask,marina_res,castro,res,11/19/2025,16:43:44,0,1,310
friendly,friendly,marina_res,marina,res,11/19/2025,16:43:44,0,2,310
fun,fun,marina_res,castro,res,11/19/2025,16:45:00,0,1,311
